Activity Type;Date;Favorite;Title;Distance;Calories;Time;Avg HR;Max HR;Aerobic TE;Avg Run Cadence;Max Run Cadence;Avg Pace;Best Pace;Total Ascent;Total Descent;Avg Stride Length;Avg Vertical Ratio;Avg Vertical Oscillation;Avg Ground Contact Time;Avg GCT Balance;Avg Run Cadence;Max Run Cadence;Training Stress Score®;Avg Power;Max Power;Grit;Flow;Avg. Swolf;Avg Stroke Rate;Total Reps;Dive Time;Min Temp;Surface Interval;Decompression;Best Lap Time;Number of Laps;Max Temp;Moving Time;Elapsed Time;Min Elevation;Max Elevation
Running;27.01.2022 18:08;false;Warszawa Inne;11.lis;0;00:55:50;0;0;--;0;0;05:01;01:12;106;108;0.00;0.0;0.0;0;--;0;0;0.0;0;0;0.0;0.0;0;0;0;00:00;0.0;00:00;No;55:50.00;1;0.0;00:54:48;00:55:50;77;96
Running;23.01.2022 14:04;false;Warszawa Inne;20.72;0;01:45:51;0;0;--;0;0;05:07;02:09;158;152;0.00;0.0;0.0;0;--;0;0;0.0;0;0;0.0;0.0;0;0;0;00:00;0.0;00:00;No;01:45:51.00;1;0.0;01:44:47;01:45:51;76;102
Running;20.01.2022 18:59;false;Warszawa Bieganie;gru.71;786;01:03:01;155;176;04.maj;163;256;04:57;02:55;59;59;sty.26;07.wrz;09.maj;252;49.9% L / 50.1% R;0;0;0.0;0;0;0.0;0.0;0;0;0;00:00;0.0;00:00;No;00:01.37.3;36;0.0;01:01:48;01:11:22;63;98
Running;17.01.2022 19:36;false;Warszawa Bieganie;sie.41;569;00:39:15;167;183;5.0;165;247;04:40;02:47;60;79;sty.31;07.sie;09.sie;237;50.0% L / 50.0% R;0;0;0.0;0;0;0.0;0.0;0;0;0;00:00;0.0;00:00;No;02:05.96.4;9;0.0;00:38:58;00:42:45;169;187
Running;15.01.2022 14:16;false;Izabelin Bieganie;maj.32;354;00:26:25;155;170;03.lip;165;217;04:58;03:18;21;21;sty.23;08.lut;09.lip;242;50.0% L / 50.0% R;0;0;0.0;0;0;0.0;0.0;0;0;0;00:00;0.0;00:00;No;01:37.71.2;6;0.0;00:26:13;00:26:25;89;97
Running;13.01.2022 20:01;false;Warszawa Bieganie;15.14;983;01:15:37;154;171;5.0;165;256;05:00;03:02;58;52;sty.22;8.0;09.cze;252;49.9% L / 50.1% R;0;0;0.0;0;0;0.0;0.0;0;0;0;00:00;0.0;00:00;No;00:44.98.1;16;0.0;01:14:51;01:16:46;92;111
Running;12.01.2022 08:05;false;Warszawa Inne;kwi.93;0;00:28:05;0;0;--;0;0;05:42;00:30;27;27;0.00;0.0;0.0;0;--;0;0;0.0;0;0;0.0;0.0;0;0;0;00:00;0.0;00:00;No;28:04.99.9;1;0.0;00:23:17;00:28:05;78;93
Running;10.01.2022 18:45;false;Warszawa Inne;pa�.69;0;00:56:53;0;0;--;0;0;05:19;01:55;79;78;0.00;0.0;0.0;0;--;0;0;0.0;0;0;0.0;0.0;0;0;0;00:00;0.0;00:00;No;56:52.99.9;1;0.0;00:52:49;00:56:53;80;94
Running;07.01.2022 14:36;false;Rzewnie Inne;wrz.37;0;00:53:43;0;0;--;0;0;05:44;01:46;72;72;0.00;0.0;0.0;0;--;0;0;0.0;0;0;0.0;0.0;0;0;0;00:00;0.0;00:00;No;53:42.99.9;1;0.0;00:45:17;00:53:43;83;103
Running;02.01.2022 17:24;false;Warszawa Inne;06.gru;0;00:31:21;0;0;--;0;0;05:07;01:52;47;48;0.00;0.0;0.0;0;--;0;0;0.0;0;0;0.0;0.0;0;0;0;00:00;0.0;00:00;No;31:20.99.9;1;0.0;00:31:01;00:31:21;77;94
